provinsi,jenis,daerah,upah,peng,ump,gk,tahun,Cluster
ACEH,MAKANAN,PERKOTAAN,11226.0,466355.0,1899999.9999999998,293697.0,2015,8
ACEH,MAKANAN,PERKOTAAN,11226.0,466355.0,1899999.9999999998,302128.0,2015,8
ACEH,MAKANAN,PERKOTAAN,13627.000000000002,548853.0,2118500.0,306243.0,2016,8
ACEH,MAKANAN,PERKOTAAN,13627.000000000002,548853.0,2118500.0,319768.0,2016,8
ACEH,MAKANAN,PERDESAAN,11226.0,395136.0,1899999.9999999998,297479.0,2015,0
ACEH,MAKANAN,PERDESAAN,11226.0,395136.0,1899999.9999999998,306737.0,2015,0
ACEH,MAKANAN,PERDESAAN,13627.000000000002,412251.0,2118500.0,315697.0,2016,0
ACEH,MAKANAN,PERDESAAN,13627.000000000002,412251.0,2118500.0,324854.0,2016,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,11226.0,415354.0,1899999.9999999998,296406.0,2015,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,11226.0,415354.0,1899999.9999999998,305428.0,2015,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,13627.000000000002,451952.0,2118500.0,312801.0,2016,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,13627.000000000002,451952.0,2118500.0,323548.0,2016,5
ACEH,MAKANAN,PERKOTAAN,14809.0,610732.0,2500000.0,330153.0,2017,8
ACEH,MAKANAN,PERKOTAAN,14809.0,610732.0,2500000.0,347811.0,2017,8
ACEH,MAKANAN,PERKOTAAN,13814.0,637432.0,2700000.0,351777.0,2018,8
ACEH,MAKANAN,PERKOTAAN,13814.0,637432.0,2700000.0,360318.0,2018,8
ACEH,MAKANAN,PERDESAAN,14809.0,494150.0,2500000.0,331267.0,2017,0
ACEH,MAKANAN,PERDESAAN,14809.0,494150.0,2500000.0,346070.0,2017,0
ACEH,MAKANAN,PERDESAAN,13814.0,506656.0,2700000.0,353915.0,2018,0
ACEH,MAKANAN,PERDESAAN,13814.0,506656.0,2700000.0,362463.0,2018,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,14809.0,529161.0,2500000.0,330958.0,2017,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,14809.0,529161.0,2500000.0,346552.0,2017,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,13814.0,547668.0,2700000.0,353291.0,2018,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,13814.0,547668.0,2700000.0,361835.0,2018,5
ACEH,MAKANAN,PERKOTAAN,15065.000000000002,639421.0,2916810.0,364040.0,2019,8
ACEH,MAKANAN,PERKOTAAN,15065.000000000002,639421.0,2916810.0,377620.0,2019,8
ACEH,MAKANAN,PERKOTAAN,18099.0,655222.0,3165031.0,398026.0,2020,8
ACEH,MAKANAN,PERKOTAAN,18099.0,655222.0,3165031.0,399504.0,2020,8
ACEH,MAKANAN,PERDESAAN,15065.000000000002,520759.0,2916810.0,372626.0,2019,0
ACEH,MAKANAN,PERDESAAN,15065.000000000002,520759.0,2916810.0,387367.0,2019,0
ACEH,MAKANAN,PERDESAAN,18099.0,566947.0,3165031.0,396615.0,2020,0
ACEH,MAKANAN,PERDESAAN,18099.0,566947.0,3165031.0,397816.0,2020,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,15065.000000000002,559299.0,2916810.0,370093.0,2019,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,15065.000000000002,559299.0,2916810.0,384381.0,2019,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,18099.0,595634.0,3165031.0,397032.0,2020,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,18099.0,595634.0,3165031.0,398316.0,2020,5
ACEH,MAKANAN,PERKOTAAN,17037.0,734401.0,3165031.0,418047.0,2021,8
ACEH,MAKANAN,PERKOTAAN,17037.0,734401.0,3165031.0,426126.0,2021,8
ACEH,MAKANAN,PERKOTAAN,16772.0,736172.0,3166460.0,448528.0,2022,8
ACEH,MAKANAN,PERKOTAAN,16772.0,736172.0,3166460.0,481276.00000000006,2022,8
ACEH,MAKANAN,PERDESAAN,17037.0,597940.0,3165031.0,406917.0,2021,0
ACEH,MAKANAN,PERDESAAN,17037.0,597940.0,3165031.0,414737.99999999994,2021,0
ACEH,MAKANAN,PERDESAAN,16772.0,633566.0,3166460.0,434104.0,2022,0
ACEH,MAKANAN,PERDESAAN,16772.0,633566.0,3166460.0,462137.99999999994,2022,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,17037.0,643591.0,3165031.0,410420.0,2021,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,17037.0,643591.0,3165031.0,418295.99999999994,2021,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,16772.0,668480.0,3166460.0,438658.0,2022,5
ACEH,MAKANAN,PERDESAANPERKOTAAN,16772.0,668480.0,3166460.0,468254.99999999994,2022,5
ACEH,NONMAKANAN,PERKOTAAN,11226.0,529945.0,1899999.9999999998,116717.00000000001,2015,2
ACEH,NONMAKANAN,PERKOTAAN,11226.0,529945.0,1899999.9999999998,118196.00000000001,2015,2
ACEH,NONMAKANAN,PERKOTAAN,13627.000000000002,559492.0,2118500.0,121726.99999999999,2016,2
ACEH,NONMAKANAN,PERKOTAAN,13627.000000000002,559492.0,2118500.0,125719.00000000001,2016,2
ACEH,NONMAKANAN,PERDESAAN,11226.0,260183.0,1899999.9999999998,84638.0,2015,7
ACEH,NONMAKANAN,PERDESAAN,11226.0,260183.0,1899999.9999999998,87682.0,2015,7
ACEH,NONMAKANAN,PERDESAAN,13627.000000000002,272829.0,2118500.0,88288.0,2016,7
ACEH,NONMAKANAN,PERDESAAN,13627.000000000002,272829.0,2118500.0,90972.0,2016,7
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,11226.0,336764.0,1899999.9999999998,93744.0,2015,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,11226.0,336764.0,1899999.9999999998,96344.0,2015,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,13627.000000000002,356142.0,2118500.0,98155.0,2016,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,13627.000000000002,356142.0,2118500.0,101217.0,2016,4
ACEH,NONMAKANAN,PERKOTAAN,14809.0,576134.0,2500000.0,127857.99999999999,2017,2
ACEH,NONMAKANAN,PERKOTAAN,14809.0,576134.0,2500000.0,132061.0,2017,2
ACEH,NONMAKANAN,PERKOTAAN,13814.0,633864.0,2700000.0,134561.0,2018,2
ACEH,NONMAKANAN,PERKOTAAN,13814.0,633864.0,2700000.0,136434.0,2018,2
ACEH,NONMAKANAN,PERDESAAN,14809.0,287004.0,2500000.0,94463.0,2017,7
ACEH,NONMAKANAN,PERDESAAN,14809.0,287004.0,2500000.0,96799.0,2017,7
ACEH,NONMAKANAN,PERDESAAN,13814.0,331248.0,2700000.0,100825.0,2018,7
ACEH,NONMAKANAN,PERDESAAN,13814.0,331248.0,2700000.0,104778.0,2018,7
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,14809.0,373833.0,2500000.0,104495.99999999999,2017,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,14809.0,373833.0,2500000.0,107572.0,2017,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,13814.0,426149.0,2700000.0,111334.99999999999,2018,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,13814.0,426149.0,2700000.0,114830.0,2018,4
ACEH,NONMAKANAN,PERKOTAAN,15065.000000000002,640399.0000000001,2916810.0,137577.0,2019,2
ACEH,NONMAKANAN,PERKOTAAN,15065.000000000002,640399.0000000001,2916810.0,140281.0,2019,2
ACEH,NONMAKANAN,PERKOTAAN,18099.0,704431.0,3165031.0,143425.0,2020,2
ACEH,NONMAKANAN,PERKOTAAN,18099.0,704431.0,3165031.0,144182.0,2020,2
ACEH,NONMAKANAN,PERDESAAN,15065.000000000002,334915.0,2916810.0,106942.99999999999,2019,7
ACEH,NONMAKANAN,PERDESAAN,15065.000000000002,334915.0,2916810.0,110248.00000000001,2019,7
ACEH,NONMAKANAN,PERDESAAN,18099.0,378672.99999999994,3165031.0,116269.99999999999,2020,7
ACEH,NONMAKANAN,PERDESAAN,18099.0,378672.99999999994,3165031.0,116847.0,2020,7
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,15065.000000000002,434133.0,2916810.0,116842.0,2019,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,15065.000000000002,434133.0,2916810.0,120033.0,2019,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,18099.0,484536.0,3165031.0,125093.0,2020,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,18099.0,484536.0,3165031.0,125891.99999999999,2020,4
ACEH,NONMAKANAN,PERKOTAAN,17037.0,724090.0,3165031.0,147729.0,2021,2
ACEH,NONMAKANAN,PERKOTAAN,17037.0,724090.0,3165031.0,151144.0,2021,2
ACEH,NONMAKANAN,PERKOTAAN,16772.0,716408.9999999999,3166460.0,157867.0,2022,2
ACEH,NONMAKANAN,PERKOTAAN,16772.0,716408.9999999999,3166460.0,164956.0,2022,2
ACEH,NONMAKANAN,PERDESAAN,17037.0,378672.99999999994,3165031.0,122118.0,2021,7
ACEH,NONMAKANAN,PERDESAAN,17037.0,378672.99999999994,3165031.0,126262.0,2021,7
ACEH,NONMAKANAN,PERDESAAN,16772.0,406040.00000000006,3166460.0,131658.0,2022,7
ACEH,NONMAKANAN,PERDESAAN,16772.0,406040.00000000006,3166460.0,140763.0,2022,7
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,17037.0,494227.0,3165031.0,130688.99999999999,2021,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,17037.0,494227.0,3165031.0,134643.0,2021,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,16772.0,511651.0,3166460.0,140570.0,2022,4
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,16772.0,511651.0,3166460.0,149038.0,2022,4
ACEH,TOTAL,PERKOTAAN,15845.0,928844.0000000001,1550000.0,359217.0,2013,3
ACEH,TOTAL,PERKOTAAN,15845.0,928844.0000000001,1550000.0,374261.0,2013,3
ACEH,TOTAL,PERKOTAAN,15845.0,975927.0,1750000.0,383186.0,2014,3
ACEH,TOTAL,PERKOTAAN,15845.0,975927.0,1750000.0,396939.0,2014,3
ACEH,TOTAL,PERDESAAN,15845.0,508774.0,1550000.0,319416.0,2013,6
ACEH,TOTAL,PERDESAAN,15845.0,508774.0,1550000.0,337962.0,2013,6
ACEH,TOTAL,PERDESAAN,15845.0,563583.0,1750000.0,350204.0,2014,6
ACEH,TOTAL,PERDESAAN,15845.0,563583.0,1750000.0,369232.0,2014,6
ACEH,TOTAL,PERDESAANPERKOTAAN,15845.0,627381.0,1550000.0,313294.0,2013,1
ACEH,TOTAL,PERDESAANPERKOTAAN,15845.0,679850.0,1750000.0,313294.0,2014,1
ACEH,TOTAL,PERKOTAAN,11226.0,996300.0,1899999.9999999998,410414.0,2015,3
ACEH,TOTAL,PERKOTAAN,11226.0,996300.0,1899999.9999999998,420324.0,2015,3
ACEH,TOTAL,PERKOTAAN,13627.000000000002,1108346.0,2118500.0,427970.00000000006,2016,3
ACEH,TOTAL,PERKOTAAN,13627.000000000002,1108346.0,2118500.0,445488.0,2016,3
ACEH,TOTAL,PERDESAAN,11226.0,655319.0,1899999.9999999998,382117.0,2015,6
ACEH,TOTAL,PERDESAAN,11226.0,655319.0,1899999.9999999998,394419.0,2015,6
ACEH,TOTAL,PERDESAAN,13627.000000000002,685080.0,2118500.0,403985.0,2016,6
ACEH,TOTAL,PERDESAAN,13627.000000000002,685080.0,2118500.0,415826.0,2016,6
ACEH,TOTAL,PERDESAANPERKOTAAN,11226.0,752118.0,1899999.9999999998,390150.0,2015,1
ACEH,TOTAL,PERDESAANPERKOTAAN,11226.0,752118.0,1899999.9999999998,401772.0,2015,1
ACEH,TOTAL,PERDESAANPERKOTAAN,13627.000000000002,808094.0,2118500.0,410956.0,2016,1
ACEH,TOTAL,PERDESAANPERKOTAAN,13627.000000000002,808094.0,2118500.0,424765.0,2016,1
ACEH,TOTAL,PERKOTAAN,14809.0,1186867.0,2500000.0,458010.99999999994,2017,3
ACEH,TOTAL,PERKOTAAN,14809.0,1186867.0,2500000.0,479872.0,2017,3
ACEH,TOTAL,PERKOTAAN,13814.0,1271297.0000000002,2700000.0,486338.00000000006,2018,3
ACEH,TOTAL,PERKOTAAN,13814.0,1271297.0000000002,2700000.0,496751.99999999994,2018,3
ACEH,TOTAL,PERDESAAN,14809.0,781155.0,2500000.0,425730.00000000006,2017,6
ACEH,TOTAL,PERDESAAN,14809.0,781155.0,2500000.0,442869.00000000006,2017,6
ACEH,TOTAL,PERDESAAN,13814.0,837905.0000000002,2700000.0,454739.99999999994,2018,6
ACEH,TOTAL,PERDESAAN,13814.0,837905.0000000002,2700000.0,467242.0,2018,6
ACEH,TOTAL,PERDESAANPERKOTAAN,14809.0,902994.0000000001,2500000.0,435454.00000000006,2017,1
ACEH,TOTAL,PERDESAANPERKOTAAN,14809.0,902994.0000000001,2500000.0,454124.00000000006,2017,1
ACEH,TOTAL,PERDESAANPERKOTAAN,13814.0,973817.0,2700000.0,464625.99999999994,2018,1
